User_ID,Signup_Date,Bet_Amount,Region,Account_Status,Login_Count,Customer_Type,Signup_YearMonth,Data_Health_Status
fbeb4d78,2023-04-11,4947.67,North America,Fraudulent,118,Regular,2023-04,Pipeline_Leakage
ccaea43c,2023-02-02,3201.8,Europe,Fraudulent,177,Regular,2023-02,Pipeline_Leakage
397aeb30,2025-01-19,2786.96,Asia,Active,93,High-value,2025-01,Clean
bcc9c151,2024-03-12,3424.65,North America,Active,23,New,2024-03,Clean
693d93c8,2023-07-01,4215.05,Africa,Active,112,High-value,2023-07,Clean
2601551d,2024-12-18,3881.12,North America,Active,28,New,2024-12,Clean
ac8256e1,2023-10-19,1149.1,Asia,Fraudulent,63,Regular,2023-10,Pipeline_Leakage
c41206f3,2023-05-04,165.34,Africa,Suspended,112,Regular,2023-05,Pipeline_Leakage
15eb918e,2024-01-21,1580.69,Australia,Fraudulent,151,Regular,2024-01,Pipeline_Leakage
d3a0a08d,2024-06-14,1342.37,South America,Fraudulent,103,New,2024-06,Pipeline_Leakage
71800b4c,2023-03-23,1058.86,South America,Active,135,Regular,2023-03,Clean
dfa6d8d1,2023-11-25,4714.83,Australia,Suspended,21,High-value,2023-11,Pipeline_Leakage
fbce5f4b,2024-10-02,4382.46,Europe,Fraudulent,102,High-value,2024-10,Pipeline_Leakage
7d0b3097,2024-09-25,1576.82,North America,Active,80,High-value,2024-09,Clean
5919b798,2024-05-06,3278.92,Africa,Active,191,New,2024-05,Clean
830053e4,2023-07-29,1981.18,Australia,Suspended,87,High-value,2023-07,Pipeline_Leakage
8392d76a,2024-03-10,4573.17,Australia,Fraudulent,57,Regular,2024-03,Pipeline_Leakage
c6b70df9,2023-09-16,2296.97,Europe,Suspended,86,New,2023-09,Pipeline_Leakage
0a307453,2023-08-13,1328.08,North America,Suspended,200,Regular,2023-08,Pipeline_Leakage
511e5c98,2023-09-16,1236.9,Australia,Suspended,44,New,2023-09,Pipeline_Leakage
f3a444fd,2023-07-25,2809.03,Asia,Fraudulent,20,High-value,2023-07,Pipeline_Leakage
5e54c261,2024-06-06,1317.39,Australia,Active,131,Regular,2024-06,Clean
ed329e07,2024-03-23,2925.01,Africa,Suspended,163,Regular,2024-03,Pipeline_Leakage
96afa773,2023-10-02,4489.63,North America,Suspended,30,New,2023-10,Pipeline_Leakage
9396780d,2024-05-11,2000.01,Africa,Fraudulent,136,Regular,2024-05,Pipeline_Leakage
c969f501,2023-05-03,1100.51,North America,Fraudulent,131,High-value,2023-05,Pipeline_Leakage
e4402384,2023-03-02,4987.7,Asia,Active,50,New,2023-03,Clean
c6fed0b6,2024-12-12,2550.08,Africa,Active,199,Regular,2024-12,Clean
766ac6ef,2023-01-28,459.09,South America,Suspended,90,New,2023-01,Pipeline_Leakage
297b6168,2023-06-28,240.35,Australia,Suspended,90,Regular,2023-06,Pipeline_Leakage
d860b269,2023-05-04,552.7,Asia,Fraudulent,187,High-value,2023-05,Pipeline_Leakage
297f148e,2023-08-21,3139.09,North America,Suspended,166,High-value,2023-08,Pipeline_Leakage
05916313,2023-03-05,3961.44,Africa,Fraudulent,38,High-value,2023-03,Pipeline_Leakage
62ea895a,2024-11-08,2113.69,Australia,Suspended,61,High-value,2024-11,Pipeline_Leakage
b60a1977,2023-05-17,322.32,Asia,Fraudulent,27,Regular,2023-05,Pipeline_Leakage
56b25862,2023-06-28,1911.19,North America,Suspended,38,High-value,2023-06,Pipeline_Leakage
3b4f5032,2024-05-04,4980.63,South America,Suspended,66,New,2024-05,Pipeline_Leakage
ee27f205,2023-04-11,2647.93,South America,Suspended,51,Regular,2023-04,Pipeline_Leakage
5704d603,2024-06-30,4855.54,North America,Active,45,High-value,2024-06,Clean
f19d904f,2023-10-30,4304.59,South America,Suspended,155,New,2023-10,Pipeline_Leakage
01833079,2023-09-07,62.35,Asia,Suspended,40,Regular,2023-09,Pipeline_Leakage
1e3a74be,2023-02-13,3605.01,Australia,Active,195,New,2023-02,Clean
7368c268,2023-08-10,3410.14,South America,Active,195,Regular,2023-08,Clean
91069c99,2024-04-10,2687.17,Australia,Suspended,168,New,2024-04,Pipeline_Leakage
c2668fa8,2023-02-27,1337.79,Europe,Fraudulent,20,High-value,2023-02,Pipeline_Leakage
2d0dfabf,2023-10-02,3206.6,South America,Suspended,46,New,2023-10,Pipeline_Leakage
262cba76,2024-04-17,562.2,Europe,Fraudulent,198,New,2024-04,Pipeline_Leakage
9fe564f2,2023-06-23,2176.65,Australia,Suspended,161,Regular,2023-06,Pipeline_Leakage
7df25941,2024-11-21,2271.35,Africa,Fraudulent,127,Regular,2024-11,Pipeline_Leakage
42e255bf,2024-02-01,4769.31,Australia,Suspended,119,High-value,2024-02,Pipeline_Leakage
b8b15800,2023-09-05,4379.89,Asia,Active,194,New,2023-09,Clean
928a1c1d,2024-10-08,1320.63,Africa,Fraudulent,145,New,2024-10,Pipeline_Leakage
9765c723,2024-02-02,2505.43,Africa,Suspended,195,New,2024-02,Pipeline_Leakage
95491c56,2023-07-20,897.37,South America,Suspended,149,New,2023-07,Pipeline_Leakage
1eba58ee,2023-02-12,4563.58,South America,Active,115,High-value,2023-02,Clean
94d07bcc,2023-05-23,4353.24,South America,Fraudulent,175,Regular,2023-05,Pipeline_Leakage
bdfe8378,2023-10-30,1495.73,Australia,Fraudulent,145,New,2023-10,Pipeline_Leakage
1e3aba88,2023-02-12,3196.55,Africa,Fraudulent,165,High-value,2023-02,Pipeline_Leakage
2af76510,2023-05-06,3046.81,Asia,Active,163,High-value,2023-05,Clean
ab4111fe,2023-07-03,768.43,Asia,Fraudulent,160,High-value,2023-07,Pipeline_Leakage
98558a1b,2024-01-28,3813.74,Europe,Fraudulent,83,High-value,2024-01,Pipeline_Leakage
b5527f1c,2024-04-17,2699.2,North America,Suspended,161,High-value,2024-04,Pipeline_Leakage
8423e3da,2024-02-02,3894.24,Asia,Suspended,81,Regular,2024-02,Pipeline_Leakage
250c4686,2023-03-23,2654.12,South America,Active,39,High-value,2023-03,Clean
533d3fec,2024-05-02,7.86,Europe,Fraudulent,113,Regular,2024-05,Pipeline_Leakage
1677750f,2024-11-13,1624.16,South America,Suspended,18,New,2024-11,Pipeline_Leakage
58cdbe42,2023-07-29,102.29,Africa,Active,121,New,2023-07,Clean
adbfba9f,2023-12-31,4645.85,Africa,Fraudulent,114,Regular,2023-12,Pipeline_Leakage
d3d9e5f5,2024-05-21,4394.22,Australia,Active,162,Regular,2024-05,Clean
3e9991c3,2023-03-16,4159.17,South America,Fraudulent,78,New,2023-03,Pipeline_Leakage
7ff4c74e,2024-09-21,1541.03,Asia,Suspended,71,High-value,2024-09,Pipeline_Leakage
b9a6c239,2023-03-05,294.34,North America,Fraudulent,152,New,2023-03,Pipeline_Leakage
3f207422,2023-12-14,4390.66,South America,Fraudulent,15,High-value,2023-12,Pipeline_Leakage
ac67a44e,2024-01-23,4735.01,Asia,Fraudulent,91,High-value,2024-01,Pipeline_Leakage
99e62fa9,2023-08-30,432.84,Europe,Fraudulent,130,Regular,2023-08,Pipeline_Leakage
7838e01d,2023-09-19,2432.52,South America,Active,19,Regular,2023-09,Clean
413be2e3,2023-03-06,350.72,Europe,Fraudulent,80,New,2023-03,Pipeline_Leakage
fbd7f863,2024-07-02,3804.21,Asia,Active,119,New,2024-07,Clean
097937a5,2024-03-22,3830.34,Asia,Fraudulent,116,Regular,2024-03,Pipeline_Leakage
8be77372,2023-09-29,646.32,Asia,Fraudulent,10,New,2023-09,Pipeline_Leakage
72816e40,2023-09-21,2379.04,Asia,Active,15,Regular,2023-09,Clean
a61424b0,2024-10-18,2751.27,Africa,Suspended,95,Regular,2024-10,Pipeline_Leakage
8134abe1,2024-01-17,1328.96,Australia,Suspended,74,New,2024-01,Pipeline_Leakage
591d4124,2024-11-19,4362.8,Asia,Active,20,High-value,2024-11,Clean
ae7cf78d,2024-12-25,2118.57,Africa,Fraudulent,166,High-value,2024-12,Pipeline_Leakage
4f55c9d5,2024-12-17,1062.93,North America,Suspended,24,Regular,2024-12,Pipeline_Leakage
f2ab4913,2025-01-13,2698.78,Africa,Fraudulent,158,New,2025-01,Pipeline_Leakage
a7c4e9de,2023-02-13,3651.01,Europe,Active,153,High-value,2023-02,Clean
2a161ac2,2024-10-19,1009.75,North America,Active,130,Regular,2024-10,Clean
5ad8e7ff,2024-05-12,1562.02,Europe,Suspended,99,Regular,2024-05,Pipeline_Leakage
721cae0a,2023-08-01,4975.77,Australia,Suspended,119,New,2023-08,Pipeline_Leakage
49e273f1,2024-04-17,3251.14,South America,Fraudulent,149,New,2024-04,Pipeline_Leakage
73cd3fa5,2024-11-12,2193.31,South America,Suspended,142,Regular,2024-11,Pipeline_Leakage
7199cf5f,2023-11-20,2590.29,Africa,Active,190,High-value,2023-11,Clean
b7413d36,2024-05-05,609.42,Europe,Active,11,New,2024-05,Clean
4c7e8744,2023-07-13,1127.36,Australia,Active,116,New,2023-07,Clean
6edd27c8,2024-07-09,1693.74,South America,Fraudulent,147,New,2024-07,Pipeline_Leakage
ebc60e0f,2024-07-16,2943.6,Australia,Suspended,167,High-value,2024-07,Pipeline_Leakage
21df370c,2023-09-03,1154.42,Australia,Fraudulent,49,High-value,2023-09,Pipeline_Leakage
fc6d6072,2023-07-05,1104.99,South America,Fraudulent,83,Regular,2023-07,Pipeline_Leakage
55cc9b8d,2024-09-13,359.61,South America,Suspended,155,New,2024-09,Pipeline_Leakage
96c88844,2023-04-22,3157.36,North America,Active,122,High-value,2023-04,Clean
1d587a31,2023-04-16,1148.56,North America,Suspended,129,High-value,2023-04,Pipeline_Leakage
0775fab2,2024-03-08,4527.57,Asia,Suspended,39,New,2024-03,Pipeline_Leakage
e2fb6c83,2024-01-27,4298.88,Europe,Suspended,16,High-value,2024-01,Pipeline_Leakage
2b050724,2024-10-28,358.93,South America,Fraudulent,116,Regular,2024-10,Pipeline_Leakage
2766772d,2023-04-01,1193.83,Australia,Suspended,27,High-value,2023-04,Pipeline_Leakage
3b2806d4,2024-02-23,3346.54,Europe,Active,88,High-value,2024-02,Clean
657357f5,2024-05-24,1075.11,Asia,Suspended,183,Regular,2024-05,Pipeline_Leakage
f505fdea,2023-07-25,665.9,Australia,Active,22,New,2023-07,Clean
8df42413,2024-11-02,4677.89,Africa,Active,130,High-value,2024-11,Clean
719d730f,2024-07-22,2857.36,Asia,Active,166,Regular,2024-07,Clean
39d2dee3,2023-05-09,2365.99,South America,Fraudulent,45,New,2023-05,Pipeline_Leakage
3c01fa4e,2024-11-28,3924.17,Africa,Fraudulent,11,Regular,2024-11,Pipeline_Leakage
52484661,2024-06-08,4038.45,Africa,Fraudulent,64,High-value,2024-06,Pipeline_Leakage
ee9e6ae2,2024-12-18,956.1,Asia,Suspended,182,Regular,2024-12,Pipeline_Leakage
403a5408,2023-08-17,489.17,South America,Fraudulent,113,High-value,2023-08,Pipeline_Leakage
6df59468,2023-02-22,2158.1,Australia,Suspended,113,New,2023-02,Pipeline_Leakage
c3f89fb9,2023-08-04,2120.78,Africa,Active,135,New,2023-08,Clean
796d7590,2024-02-13,2337.79,Asia,Suspended,134,Regular,2024-02,Pipeline_Leakage
0061069c,2024-06-09,3646.73,Asia,Active,157,High-value,2024-06,Clean
5a398428,2024-07-21,3368.46,Australia,Suspended,41,New,2024-07,Pipeline_Leakage
f0e1ec77,2024-08-01,4920.91,South America,Fraudulent,94,Regular,2024-08,Pipeline_Leakage
a7366d5a,2024-02-13,496.6,Asia,Active,96,New,2024-02,Clean
9907e0c0,2023-08-03,2016.09,Asia,Suspended,73,New,2023-08,Pipeline_Leakage
28193242,2023-12-31,1699.82,Asia,Suspended,100,High-value,2023-12,Pipeline_Leakage
7580100a,2023-09-02,4309.05,Europe,Fraudulent,105,New,2023-09,Pipeline_Leakage
ac38ee8c,2023-05-21,1247.04,North America,Fraudulent,199,New,2023-05,Pipeline_Leakage
65ed8b8a,2023-06-29,955.09,Australia,Fraudulent,87,High-value,2023-06,Pipeline_Leakage
065b1a57,2023-10-16,2245.82,Europe,Suspended,174,New,2023-10,Pipeline_Leakage
2f4e8cec,2024-11-06,2112.3,Asia,Fraudulent,154,New,2024-11,Pipeline_Leakage
bd3e459b,2023-04-06,1396.33,North America,Suspended,14,High-value,2023-04,Pipeline_Leakage
9b2ba0d3,2024-11-11,1252.78,Australia,Fraudulent,162,High-value,2024-11,Pipeline_Leakage
3f9cde06,2023-04-26,4616.71,Africa,Suspended,166,New,2023-04,Pipeline_Leakage
45fa0e2d,2024-06-23,2218.44,Australia,Active,86,New,2024-06,Clean
c15190d6,2023-09-25,4307.44,Europe,Fraudulent,17,New,2023-09,Pipeline_Leakage
75cc5522,2025-01-05,2753.87,Europe,Active,85,New,2025-01,Clean
2c1df00a,2024-04-22,257.69,Europe,Suspended,25,Regular,2024-04,Pipeline_Leakage
4021838a,2024-03-14,4996.42,Australia,Active,143,New,2024-03,Clean
cd6b400d,2025-01-18,4180.96,South America,Fraudulent,174,High-value,2025-01,Pipeline_Leakage
98293f56,2024-10-10,4845.14,Asia,Fraudulent,99,High-value,2024-10,Pipeline_Leakage
190d909d,2024-08-03,4632.2,Australia,Suspended,73,High-value,2024-08,Pipeline_Leakage
c57c5cc9,2023-01-26,4244.24,Africa,Fraudulent,65,High-value,2023-01,Pipeline_Leakage
95466fea,2023-09-29,835.72,Africa,Active,186,New,2023-09,Clean
704d3fd3,2024-06-20,2430.78,Africa,Fraudulent,169,New,2024-06,Pipeline_Leakage
9589cdf1,2024-08-18,1072.67,Asia,Active,155,Regular,2024-08,Clean
70cbea15,2023-10-05,2008.2,North America,Fraudulent,39,New,2023-10,Pipeline_Leakage
363887c0,2023-02-28,297.88,Europe,Suspended,86,High-value,2023-02,Pipeline_Leakage
434d273a,2023-10-08,1897.97,Asia,Fraudulent,21,New,2023-10,Pipeline_Leakage
a2641b5b,2024-07-16,4926.62,Europe,Suspended,150,Regular,2024-07,Pipeline_Leakage
15dbc977,2024-08-22,1329.69,Asia,Fraudulent,170,New,2024-08,Pipeline_Leakage
f5f8336c,2023-10-28,3921.43,Europe,Suspended,37,New,2023-10,Pipeline_Leakage
3e423406,2023-08-02,2277.77,Asia,Active,90,High-value,2023-08,Clean
186c3068,2023-04-02,2117.92,North America,Active,80,Regular,2023-04,Clean
a09395a1,2024-12-29,4786.8,Australia,Active,168,New,2024-12,Clean
a8a59bf1,2024-07-21,4977.14,Africa,Active,179,New,2024-07,Clean
d44da4aa,2024-08-01,2781.06,Europe,Suspended,170,Regular,2024-08,Pipeline_Leakage
179b5708,2023-12-07,3593.45,Asia,Suspended,101,New,2023-12,Pipeline_Leakage
8c9264a2,2023-05-31,778.21,North America,Active,34,Regular,2023-05,Clean
c6a60a23,2023-12-31,1487.06,North America,Active,153,Regular,2023-12,Clean
42463524,2024-12-13,4843.7,Africa,Active,182,High-value,2024-12,Clean
df56870a,2024-03-14,2898.01,Asia,Fraudulent,22,New,2024-03,Pipeline_Leakage
28c12f1c,2023-08-08,2713.27,Australia,Active,80,Regular,2023-08,Clean
f8f0e6f8,2023-06-12,3741.14,Europe,Suspended,144,Regular,2023-06,Pipeline_Leakage
a5aa4151,2023-04-20,290.54,Australia,Suspended,97,Regular,2023-04,Pipeline_Leakage
476b11a4,2023-04-15,2922.97,South America,Suspended,165,High-value,2023-04,Pipeline_Leakage
d3feebb7,2024-08-09,2516.74,North America,Fraudulent,85,New,2024-08,Pipeline_Leakage
1f408aa4,2023-04-01,4264.34,North America,Fraudulent,33,High-value,2023-04,Pipeline_Leakage
6b7584e6,2024-06-18,791.38,Africa,Fraudulent,172,High-value,2024-06,Pipeline_Leakage
4b246fd6,2023-04-24,4804.09,Asia,Fraudulent,180,Regular,2023-04,Pipeline_Leakage
27c89d83,2023-05-09,405.16,South America,Suspended,190,Regular,2023-05,Pipeline_Leakage
de2c775f,2024-12-05,933.2,South America,Fraudulent,176,Regular,2024-12,Pipeline_Leakage
b6419ad7,2023-07-22,2977.2,South America,Fraudulent,135,Regular,2023-07,Pipeline_Leakage
04e82e94,2024-05-25,3377.69,Asia,Fraudulent,24,High-value,2024-05,Pipeline_Leakage
09563f79,2023-08-23,1179.84,Europe,Active,166,Regular,2023-08,Clean
ef5dcb00,2024-09-07,603.83,North America,Suspended,172,New,2024-09,Pipeline_Leakage
e624a608,2024-09-29,4451.99,Asia,Fraudulent,109,High-value,2024-09,Pipeline_Leakage
9d91237b,2024-04-28,1234.85,South America,Active,131,Regular,2024-04,Clean
50923bd7,2024-11-03,2974.62,North America,Suspended,93,New,2024-11,Pipeline_Leakage
e12e8cd0,2025-01-17,3098.81,North America,Fraudulent,5,Regular,2025-01,Pipeline_Leakage
d65db5f8,2024-12-30,2099.03,South America,Suspended,93,New,2024-12,Pipeline_Leakage
09a85ae9,2024-01-30,2920.44,South America,Suspended,80,Regular,2024-01,Pipeline_Leakage
4d62464e,2023-05-17,2616.3,North America,Active,47,Regular,2023-05,Clean
e57eab4c,2023-12-07,4673.86,Africa,Fraudulent,55,High-value,2023-12,Pipeline_Leakage
23b527c3,2024-06-12,1025.27,Australia,Suspended,88,Regular,2024-06,Pipeline_Leakage
ca3155c9,2023-07-06,3582.38,Australia,Active,197,New,2023-07,Clean
99a4064f,2023-05-06,1197.24,North America,Suspended,125,New,2023-05,Pipeline_Leakage
f0519867,2023-06-25,1981.95,Europe,Suspended,50,High-value,2023-06,Pipeline_Leakage
f065c187,2023-11-01,3360.09,Europe,Active,58,Regular,2023-11,Clean
c5e11fe3,2024-11-23,1503.49,Africa,Suspended,36,High-value,2024-11,Pipeline_Leakage
511fe449,2024-11-03,1584.31,Asia,Active,40,Regular,2024-11,Clean
f338f81b,2023-07-06,3760.56,North America,Fraudulent,20,High-value,2023-07,Pipeline_Leakage
30c3373b,2024-05-05,367.35,Europe,Suspended,76,Regular,2024-05,Pipeline_Leakage
550665cc,2023-08-27,2294.14,North America,Fraudulent,26,Regular,2023-08,Pipeline_Leakage
dc56d7f6,2024-10-24,4992.28,Africa,Fraudulent,130,High-value,2024-10,Pipeline_Leakage
2452db0f,2023-08-11,4980.5,South America,Suspended,198,High-value,2023-08,Pipeline_Leakage
8092d748,2024-02-28,370.94,Africa,Active,139,High-value,2024-02,Clean
2702558f,2023-02-06,1069.71,Africa,Suspended,190,High-value,2023-02,Pipeline_Leakage
36831699,2024-11-08,1329.68,Africa,Suspended,135,Regular,2024-11,Pipeline_Leakage
83a3eca6,2023-04-25,4666.63,Europe,Active,10,Regular,2023-04,Clean
cb51aeed,2023-03-21,4404.92,Africa,Active,170,New,2023-03,Clean
319f16a2,2024-05-06,4396.95,South America,Suspended,87,Regular,2024-05,Pipeline_Leakage
aa4542bc,2023-03-29,1850.79,South America,Active,197,High-value,2023-03,Clean
c0e5b9f9,2024-05-07,792.95,South America,Fraudulent,159,High-value,2024-05,Pipeline_Leakage
2df4ecaa,2024-01-11,4169.56,Asia,Active,34,Regular,2024-01,Clean
b397b4e5,2023-04-20,3519.18,Africa,Fraudulent,153,New,2023-04,Pipeline_Leakage
d3f04f94,2023-06-03,3060.33,South America,Fraudulent,97,New,2023-06,Pipeline_Leakage
a758cbe2,2024-11-18,4936.23,Asia,Fraudulent,40,Regular,2024-11,Pipeline_Leakage
aacd6027,2024-09-24,3271.61,Africa,Active,42,High-value,2024-09,Clean
05bc7b77,2023-11-09,44.08,Africa,Active,47,High-value,2023-11,Clean
1c24c161,2024-08-01,4086.44,North America,Suspended,178,Regular,2024-08,Pipeline_Leakage
a19cad9c,2024-10-04,1500.4,Africa,Active,198,New,2024-10,Clean
394582f9,2023-08-12,3318.63,Australia,Active,160,Regular,2023-08,Clean
ff667438,2023-05-18,4694.96,North America,Fraudulent,43,Regular,2023-05,Pipeline_Leakage
c8f0d30f,2024-02-10,675.78,Europe,Active,185,Regular,2024-02,Clean
d47af008,2024-04-09,581.57,Australia,Active,113,Regular,2024-04,Clean
bbc35256,2024-12-14,539.64,Europe,Fraudulent,12,High-value,2024-12,Pipeline_Leakage
69b540df,2024-10-03,2768.35,Asia,Active,106,High-value,2024-10,Clean
fc55e549,2024-07-13,1365.38,Australia,Fraudulent,94,Regular,2024-07,Pipeline_Leakage
8fc1ae3c,2024-11-04,3026.12,North America,Active,174,New,2024-11,Clean
ee977da6,2024-03-29,3589.47,Europe,Active,185,Regular,2024-03,Clean
a2df1089,2024-04-05,1021.97,Europe,Suspended,61,High-value,2024-04,Pipeline_Leakage
e6e324ba,2024-03-23,3173.02,Europe,Active,114,High-value,2024-03,Clean
e2fd146f,2024-01-24,1323.6,Africa,Fraudulent,157,New,2024-01,Pipeline_Leakage
de21353f,2023-08-05,2445.22,North America,Active,73,Regular,2023-08,Clean
611421d0,2023-03-15,4527.16,Europe,Suspended,193,High-value,2023-03,Pipeline_Leakage
ae0ecf4c,2023-10-16,4231.29,North America,Active,192,High-value,2023-10,Clean
0b0eb78f,2024-11-27,466.03,South America,Active,115,Regular,2024-11,Clean
339a65d6,2023-07-31,2120.76,South America,Fraudulent,60,Regular,2023-07,Pipeline_Leakage
f58e4f96,2023-02-17,1387.02,Australia,Suspended,137,New,2023-02,Pipeline_Leakage
3d059189,2024-05-16,22.71,Africa,Active,62,New,2024-05,Clean
9be41f87,2023-01-29,3856.74,South America,Active,80,New,2023-01,Clean
ba244e5b,2024-02-22,3187.38,Asia,Fraudulent,121,Regular,2024-02,Pipeline_Leakage
2b297673,2023-05-27,1313.47,North America,Active,50,Regular,2023-05,Clean
2a4972a5,2023-09-20,3707.45,Europe,Active,95,New,2023-09,Clean
26a00e28,2024-01-21,2760.64,Asia,Active,174,High-value,2024-01,Clean
7c82569b,2023-11-20,2141.3,Australia,Suspended,147,High-value,2023-11,Pipeline_Leakage
3c0ec9a4,2024-07-20,53.3,Asia,Active,113,Regular,2024-07,Clean
3c049990,2023-11-30,380.84,Australia,Fraudulent,119,High-value,2023-11,Pipeline_Leakage
e015bee8,2024-09-22,4416.12,South America,Suspended,197,Regular,2024-09,Pipeline_Leakage
cb50fc9c,2023-08-19,4520.12,North America,Active,73,New,2023-08,Clean
be2008c4,2023-03-08,2730.22,Australia,Active,200,Regular,2023-03,Clean
